mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_mean,chroma_std,contrast_mean,contrast_std,tonnetz_mean,tonnetz_std,zcr_mean,rmse_mean,filename
-438.01587,137.87389,36.447296,69.35886,3.821594,26.377298,18.46732,31.589945,-2.2132092,17.059267,-6.342358,18.50062,-6.20841,14.519715,-2.3893833,9.4997425,-7.6932783,12.235136,-1.1465358,9.505446,-11.052747,13.333594,-3.3442242,8.601461,-8.887612,10.98734,0.48196033,0.31904382,17.92463314692258,6.469321211705712,-0.002443418427821807,0.13270709544670384,0.15878068155317165,0.022747593,audio_1008.wav
-320.42764,70.83842,123.34535,25.811644,-19.073486,26.396626,23.020292,28.831673,0.40779603,18.624289,-4.344967,22.55521,-4.5094457,17.264265,-3.0281773,13.398233,-6.1908727,13.568348,-7.5011654,13.08524,1.9589206,12.558895,0.2900549,10.369803,0.2589363,9.1310835,0.4397367,0.31763956,17.640193161084802,5.1759902106653275,0.005784409642484665,0.08712965523067907,0.10101103858825879,0.033986695,audio_1017.wav
-317.47037,92.64218,96.71045,71.87279,9.292677,52.59644,30.722073,41.2785,-4.145835,29.657938,-30.519575,25.715971,-8.914343,21.40825,-5.4011645,18.559155,-1.3557719,15.14761,-4.9499097,11.971315,-9.050469,11.20898,1.8540913,10.8309355,-5.460269,9.689158,0.33059773,0.32042223,20.39643018506016,5.743894294802101,-0.006120988548166493,0.13198752769560237,0.14695991621738552,0.0540774,audio_102.wav
-395.97574,152.25404,83.70689,68.29327,-9.338621,32.15485,22.242302,30.071775,2.223831,15.708841,-4.6401095,15.835111,0.9915089,12.022875,-5.5420604,12.895237,-6.2530794,15.315412,-0.23180607,11.292574,-7.6159215,10.642625,-4.440738,8.68729,-7.586988,9.001675,0.3745079,0.3102694,18.566815765773658,5.416390415302195,0.0061014457251054345,0.12767346559497758,0.09466312233759318,0.04144122,audio_1024.wav
-316.61896,123.16568,65.66385,53.354553,3.2395918,38.500397,33.875946,41.262375,-13.334555,25.49616,-3.8209093,18.731848,4.3957915,17.66237,-16.391735,18.594526,-4.985112,12.909777,-8.285057,15.522623,-9.492434,11.439361,3.2932525,9.425318,-7.728069,11.946363,0.34740716,0.3225388,20.310790121654907,6.41986875180175,0.007535091877086101,0.1384391250799058,0.13666884704205975,0.05173715,audio_1025.wav
-330.60388,82.345856,80.43314,47.479305,-8.584592,32.67319,4.5224457,22.100885,-9.695792,17.13865,-3.8969774,15.2164545,-11.934242,18.649647,-12.606226,17.370117,-4.863219,12.19159,-8.141374,9.679276,-7.895649,9.457404,-4.149752,8.431007,-1.2894598,8.37098,0.3657069,0.3329276,18.58177249790267,5.762233618607402,0.0016448653213357795,0.16209943164695437,0.1753987890208999,0.040161647,audio_1028.wav
-306.64456,57.367603,120.65512,26.771238,-6.372949,15.455059,17.854725,27.601044,-10.723031,17.384508,-9.463614,12.261487,-1.4823884,13.133493,-4.4414344,12.894343,-2.70484,11.137789,-10.364808,11.759841,-7.810784,9.273787,-11.845293,9.359079,-2.820051,8.265135,0.37163073,0.3211413,18.628142225735846,5.111032470213847,-0.011851140695298813,0.12834635548952322,0.09323311867678381,0.04540056,audio_1030.wav
-331.6061,73.46141,94.89172,40.668056,13.860718,30.965052,33.591072,28.846395,5.968874,23.159086,12.48451,17.191547,0.71933603,19.292809,1.8527251,15.445885,11.375326,14.243767,7.84123,11.989527,-5.598087,11.577119,-1.3190151,9.798619,0.8888031,9.118999,0.3682685,0.32462806,18.992335734500237,5.840031813038992,-0.00756309555436258,0.1077748948605145,0.12669936435037274,0.03364254,audio_1031.wav
-287.85052,118.0324,95.29919,63.749146,-20.81727,41.600067,38.008686,36.526012,-16.267508,26.994898,-12.149887,19.571932,-7.013177,18.21417,-17.3433,17.842724,-10.399071,13.655551,-11.892649,15.155894,-8.975114,11.957262,-14.200369,12.127339,-5.3765416,12.4043045,0.32347685,0.31335464,20.98789363592912,5.916125939069055,-0.015204216465884459,0.15226563246951905,0.1352068461295261,0.058869414,audio_1032.wav
-289.5748,87.75308,67.201454,34.132046,-2.8617828,33.188324,-1.0060011,26.863012,-21.17475,26.055305,-23.535173,22.355885,-16.225683,17.066687,-3.7169135,17.657043,-4.27341,14.057752,-3.1102662,13.171991,-6.3419538,12.153759,-0.9693938,11.07861,-6.951269,12.053845,0.28754327,0.31588614,19.915534929752642,5.871518233279306,0.005716270091893171,0.11678488386738156,0.17331410368410544,0.046522174,audio_1036.wav
-353.76483,95.34279,82.62319,43.91295,-4.621985,24.740088,9.057306,29.94528,-1.377931,19.501554,-7.573408,14.811646,-10.189685,15.073006,-4.326474,13.464762,4.3335147,12.005355,-6.4256206,15.2109165,1.1947224,10.932104,-2.806805,11.049322,-7.809669,8.922506,0.4477273,0.31988338,17.6467056423198,5.186106469907304,0.011012385773577864,0.09192286588356698,0.15594059920793396,0.029416371,audio_1038.wav
-391.20746,91.36613,102.18869,76.68983,23.189034,48.07554,10.220511,32.692757,-6.350909,24.069607,2.2122645,20.837084,4.8533163,22.511578,11.842923,22.153486,17.37977,18.319263,11.355174,15.60781,2.5044258,13.975705,-3.2530055,13.973273,-2.4303653,13.865763,0.3647944,0.31633896,23.25860046985839,8.881315222702943,0.02352432146049617,0.15897977455599735,0.07190640417745066,0.04961909,audio_104.wav
-350.6261,159.34323,68.67735,57.70339,-2.4268892,42.329826,28.748749,33.40696,4.336291,20.18963,-0.34104502,21.4731,12.69249,22.97168,-25.138166,24.621284,-8.277676,13.288203,0.4159504,12.656646,-16.88857,14.62628,-4.792444,12.305308,-3.3335252,10.037995,0.39568058,0.30833977,19.68606819703607,6.214461259375579,0.025140590692153384,0.14797529691104172,0.16641368601903622,0.04093817,audio_1040.wav
-323.1991,121.378,71.1448,44.53565,-2.9832618,33.883694,11.464638,25.93299,-21.259218,29.07203,-15.672798,21.19838,-14.410326,17.553923,6.5364423,15.479641,-11.075114,14.4629345,-7.3250637,11.072863,-12.339868,11.373812,-4.325776,11.806049,-6.444801,9.687857,0.24996068,0.31404343,21.198146875469053,6.079560814677317,-0.021522620586847542,0.15888190899947105,0.12149597102968583,0.0559834,audio_1043.wav
-336.98004,109.89326,47.303623,72.07789,13.22667,33.549484,11.812233,24.836184,0.3462928,17.604218,3.493527,15.909557,-2.909808,15.243111,-4.1370807,15.160913,-2.5413306,12.665177,-13.179548,14.554088,-4.663085,10.992067,5.639046,11.66826,-1.8609474,9.5956,0.36701798,0.32499045,18.778481654028138,5.9000822400321296,-0.007781344622299785,0.14475342576945252,0.1791243385583067,0.041401714,audio_105.wav
-433.7086,154.63452,27.37399,46.112083,-0.07091447,31.95436,24.250225,38.20125,-12.62412,24.685165,3.7920034,12.970101,-10.256142,18.99855,-11.394642,17.09748,-8.259443,13.503858,-6.4474154,12.164998,-6.913482,10.523668,-5.848956,11.243598,-0.19723517,7.5238657,0.2393913,0.33403203,18.41251678966223,6.122786832403166,0.0003702120404383562,0.14785144286166477,0.08777856471312566,0.025646117,audio_1057.wav
-321.42804,75.37165,106.6481,56.477547,13.7762375,47.321102,31.796892,27.862957,15.650472,21.2546,17.120533,18.17532,8.014617,21.27458,-1.2194122,15.655364,3.2421203,17.166027,10.150619,19.563139,11.75153,17.030766,-0.6635362,11.711413,-4.7531776,13.490951,0.40062994,0.3061376,22.34778483232252,8.435152113827836,0.02199109962145737,0.12382942705794016,0.06986274671783366,0.05616842,audio_1059.wav
